51923352		8		4096		5		1397080441.267558501		1397080441.267707876		1397080441.339519959		1397080441.340244751
4251200		56		28672		5		1397080441.340375220		1397080441.340406782		1397080441.340418188		1397080441.344162563
4251256		8		4096		5		1397080441.344231522		1397080441.344344595		1397080441.344351053		1397080441.345036209
4251264		8		4096		5		1397080441.351338449		1397080441.351427980		1397080441.351434126		1397080441.352103553
51923352		8		4096		5		1397080441.352206418		1397080441.352223501		1397080441.352233865		1397080441.352926522
4251272		16		8192		5		1397080441.353022824		1397080441.353039022		1397080441.353048553		1397080441.353762980
4251288		8		4096		5		1397080441.353829751		1397080441.353920324		1397080441.353926470		1397080441.354607199
6857728		17		8704		5		1397080441.356448813		1397080441.356485324		1397080441.356501261		1397080441.357834543
4251296		16		8192		5		1397080441.357961105		1397080441.357977615		1397080441.357986574		1397080441.359130740
4251312		8		4096		5		1397080441.359199959		1397080441.359293345		1397080441.359299334		1397080441.359976261
51679616		8		4096		5		1397080446.250609592		1397080446.251187144		1397080446.257091988		1397080446.258040738
4251320		64		32768		5		1397080447.331135998		1397080447.332256259		1397080447.336268811		1397080447.340999072
4251384		8		4096		5		1397080447.341522197		1397080447.341872614		1397080447.341911416		1397080447.343036207
51679232		57		29184		5		1397080452.350928132		1397080452.351176153		1397080452.355124382		1397080452.359556674
51842864		48		24576		5		1397080467.474985419		1397080467.475048492		1397080467.545759533		1397080467.547535471
5033016		8		4096		5		1397080467.547691669		1397080467.547717033		1397080467.547731460		1397080467.548430471
4251392		128		65536		1		1397080467.547784325		1397080467.547825158		1397080467.548464846		1397080467.552286460
4251520		8		4096		5		1397080467.552426148		1397080467.552530835		1397080467.552540835		1397080467.553257867
37014208		73		37376		5		1397080467.713861408		1397080467.713913231		1397080467.713970783		1397080467.717206564
4251528		72		36864		5		1397080467.717596148		1397080467.717625783		1397080467.717645210		1397080467.719410887
4251600		8		4096		5		1397080467.719512866		1397080467.719619116		1397080467.719629689		1397080467.720305939
49612664		8		4096		5		1397080467.720470731		1397080467.720495835		1397080467.720559273		1397080467.721276252
49612688		65		33280		5		1397080467.723569012		1397080467.723624065		1397080467.723687710		1397080467.733307137
49612664		8		4096		5		1397080467.733634169		1397080467.733657242		1397080467.733675262		1397080467.734377919
49612664		81		41472		5		1397080467.736216721		1397080467.736275835		1397080467.736327033		1397080467.738964481
4251608		16		8192		5		1397080467.740254533		1397080467.740293804		1397080467.740312970		1397080467.741088440
4251624		8		4096		5		1397080467.741180940		1397080467.741284950		1397080467.741293336		1397080467.741993023
49612664		8		4096		5		1397080467.742160471		1397080467.742189169		1397080467.742205627		1397080467.742911200
49612688		73		37376		5		1397080467.743570262		1397080467.743616981		1397080467.743658492		1397080467.753523335
49612664		8		4096		5		1397080467.753853335		1397080467.753875262		1397080467.753889690		1397080467.754574794
49612664		49		25088		5		1397080467.759682971		1397080467.759821252		1397080467.759902189		1397080467.762040263
4251632		16		8192		5		1397080467.762460888		1397080467.762488231		1397080467.762501669		1397080467.767975679
4251648		8		4096		5		1397080467.768062710		1397080467.768164950		1397080467.768173856		1397080467.768901304
49612664		8		4096		5		1397080467.769046043		1397080467.769071408		1397080467.769083491		1397080467.769777502
49612712		41		20992		5		1397080467.770084429		1397080467.770107241		1397080467.770132241		1397080467.772644117
49612664		8		4096		5		1397080467.772948856		1397080467.772968856		1397080467.772982919		1397080467.773684950
49612664		24		12288		5		1397080467.779646408		1397080467.779687450		1397080467.779714064		1397080467.780904794
4251656		16		8192		5		1397080467.781228336		1397080467.781255627		1397080467.781267711		1397080467.781994794
4251672		8		4096		5		1397080467.782073492		1397080467.782176304		1397080467.782184117		1397080467.782856460
49612664		8		4096		5		1397080467.783025992		1397080467.783052710		1397080467.783066512		1397080467.783783908
5558400		17		8704		5		1397080467.784093804		1397080467.784114637		1397080467.784133283		1397080467.785514377
49612664		8		4096		5		1397080467.785796096		1397080467.785816356		1397080467.785830314		1397080467.786514429
49612664		24		12288		5		1397080467.787680783		1397080467.787716721		1397080467.787740314		1397080467.789051460
4251680		16		8192		5		1397080467.789358804		1397080467.789385158		1397080467.789397033		1397080467.790139325
4251696		8		4096		5		1397080467.790207293		1397080467.790302137		1397080467.790312085		1397080467.790989690
49612664		8		4096		5		1397080467.791177033		1397080467.791203023		1397080467.791217867		1397080467.791914325
5558400		17		8704		5		1397080467.792255940		1397080467.792273960		1397080467.792291304		1397080467.793661617
49612664		8		4096		5		1397080467.793992971		1397080467.794019794		1397080467.794042971		1397080467.794739533
49612664		24		12288		5		1397080467.795877085		1397080467.795913596		1397080467.795934794		1397080467.797217814
4251704		16		8192		5		1397080467.799859481		1397080467.799887293		1397080467.799916929		1397080467.800690575
4251720		8		4096		5		1397080467.800807919		1397080467.800919690		1397080467.800927294		1397080467.801604585
49612664		8		4096		5		1397080467.801745002		1397080467.801772971		1397080467.801785367		1397080467.802519533
5558400		17		8704		5		1397080467.802759950		1397080467.802783908		1397080467.802801825		1397080467.804156512
49612664		8		4096		5		1397080467.804456356		1397080467.804478960		1397080467.804494117		1397080467.805192137
49612664		24		12288		5		1397080467.806803439		1397080467.806840887		1397080467.806866669		1397080467.808592971
4251728		16		8192		5		1397080467.815247658		1397080467.815279742		1397080467.815300731		1397080467.816050054
4251744		8		4096		5		1397080467.816121252		1397080467.816205106		1397080467.816212762		1397080467.816895939
49612664		8		4096		5		1397080467.817644794		1397080467.817670731		1397080467.817687294		1397080467.818400783
5558400		17		8704		5		1397080467.818781043		1397080467.818803023		1397080467.818821043		1397080467.820115835
